"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201730,Guilford,32188,HIST 225,001,4,African American History,,,"Israel, Adrienne",DUKE 303,Full Term Courses,T,7:25pm - 10:10pm,12,26,0/0,0/0,14,22,
201730,Guilford,32989,HIST 227,001,4,Urban Environmental History,,,"Akins, Damon",DUKE 213,Full Term Courses,TF,10:00am - 11:15am,14,25,0/0,0/0,11,,
201730,Guilford,32990,HIST 236,001,4,Reformation:Luther to Fox,,,"Kircher, Timothy",DANA 215,Full Term Courses,TR,4:00pm - 5:15pm,11,25,0/0,0/0,14,14,
201730,Guilford,30278,HIST 237,001,4,HP:Europe in Revoltn:1789-1918,Enrollment limited to students needing Hist Persp credit. Prerequisite:  ENGL102.,,"Slaby, Philip",DUKE 213,Full Term Courses,MWR,10:00am - 11:15am,16,18,,0/1,1,,
201730,Guilford,32997,HIST 237,004,4,Europe in Revolution:1789-1918,,,"Slaby, Philip",KING 201,Full Term Courses,TR,1:00pm - 2:15pm,17,25,0/0,0/0,8,,
201730,Guilford,30279,HIST 241,001,4,Africa to 1800,,,"Israel, Adrienne",DUKE 303,Full Term Courses,R,7:25pm - 10:10pm,30,30,0/0,0/0,0,,
201730,Guilford,32992,HIST 250,001,4,The First World War,,,"Slaby, Philip",DUKE 202,Full Term Courses,MW,6:00pm - 7:15pm,14,25,0/0,0/0,11,,
201730,Guilford,32462,HIST 264,001,4,HP:Asia Pacific Modern Times,Enrollment limited to students needing Hist Persp credit. Prerequisite: Engl 102.,,"Chen, Zhihong",DUKE 202,Full Term Courses,MWR,8:30am - 9:45am,18,18,0/0,0/0,0,,
201730,Guilford,32993,HIST 264,002,4,Asia Pacific in Modern Times,,,"Chen, Zhihong",DUKE 203,Full Term Courses,MW,11:30am - 12:45pm,21,25,0/0,0/0,4,,
201730,Guilford,33033,HIST 271,001,4,Colonial Latin America,,,"Hamilton, William",DUKE 201,Full Term Courses,TF,11:30am - 12:45pm,18,20,0/0,0/0,2,,
201730,Guilford,32766,HIST 324,001,4,American Rivers,,,"Akins, Damon",DUKE 103,Full Term Courses,TF,11:30am - 12:45pm,4,25,0/0,0/0,21,,
201730,Guilford,32674,HON 400,001,1,Senior Year Seminar,Enrollment limited to juniors in the Honors Program; instructor permission required.,,"Riskind, Rachel",KING 223,Full Term Courses,M,1:00pm - 2:15pm,24,25,0/0,0/0,1,,
201730,Guilford,30445,IDS 402,001,4,Business Ethics,Enrollment limited to seniors. Prerequisites: Minimum 88 semester credits earned and completion of Historical Perspectives requirement.,,"Dutch, Michael",KING 205,Full Term Courses,MW,10:00am - 11:15am,16,16,0/0,0/0,0,,
